Company Name,Location,NAICS,Business Description,Jobs Lost,Type,Month Announced,Month Closing / Layoff
Caterpillar Global Mining*,Giles County,561422,Customer service center for mining equipment manufacturer,45,Closing,4/1/2014 12:00:00 AM,7/1/2014 12:00:00 AM
General Dynamics Information Technology Inc.,Chesterfield County,561422,Call center for Affordable Care Act,344,Closing,3/1/2014 12:00:00 AM,5/1/2014 12:00:00 AM
Lockheed Martin Corporation Information Systems & Global Solutions,Arlington County,541512,Information systems and global services,165,Reduction,3/1/2014 12:00:00 AM,5/1/2014 12:00:00 AM
NCO Financial Systems Inc.,Virginia Beach,561422,Debt collection and outsourcing services,107,Reduction,3/1/2014 12:00:00 AM,5/1/2014 12:00:00 AM
Mountain Lumber Co.,Greene County,321918,Wood flooring and paneling,40,Closing,3/1/2014 12:00:00 AM,3/1/2014 12:00:00 AM
Union First Market Bank,Montgomery County,522110,Bank operations center,80,Closing,3/1/2014 12:00:00 AM,5/1/2014 12:00:00 AM
MeadWestvaco Corp.,Richmond City,551114,Corporate HQ; Packaging solutions and products,125,Reduction,2/1/2014 12:00:00 AM,5/1/2014 12:00:00 AM
Reinhart Foodservices,Prince George County,424900,Distribution of food and beverage products,46,Reduction,2/1/2014 12:00:00 AM,4/1/2014 12:00:00 AM
The Commodore Corporation,Danville,321992,Producer of modular and performance homes,118,Closing,2/1/2014 12:00:00 AM,4/1/2014 12:00:00 AM
General Dynamics Information Technology,Suffolk,541512,Information technology,88,Reduction,2/1/2014 12:00:00 AM,4/1/2014 12:00:00 AM
"KCG Call Centers, LLC",Lee County,561422,Customer service call center,283,Closing,2/1/2014 12:00:00 AM,2/1/2014 12:00:00 AM
Bank of America,Henrico County,522110,Refinancing and default servicing operations,103,Reduction,1/1/2014 12:00:00 AM,3/1/2014 12:00:00 AM
Bank of America,Norfolk,522110,Mortgage banking,15,Reduction,1/1/2014 12:00:00 AM,1/1/2014 12:00:00 AM
Jefferson Laboratory,Newport News,541712,Nuclear science lab,46,Reduction,1/1/2014 12:00:00 AM,1/1/2014 12:00:00 AM
"NII Holdings, Inc.",Fairfax County,551114,"Nextel Communications, Inc.",86,Reduction,12/1/2013 12:00:00 AM,12/31/2013 12:00:00 AM
Bostwick Laboratories,Henrico County,551114,HQ; Pathology reference laboratory,44,Reduction,12/1/2013 12:00:00 AM,2/1/2014 12:00:00 AM
Rubbermaid Commercial Products LLC,Winchester,551114,HQ; Commercial plastic products,65,Closing,12/1/2013 12:00:00 AM,6/1/2014 12:00:00 AM
Xerox,Richmond City,518210,Data entry and customer service,25,Reduction,11/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
Advanced Auto Parts,Roanoke City,423120,"Distribution, automotive parts",10,Reduction,11/1/2013 12:00:00 AM,12/1/2013 12:00:00 AM
URS Corporation,Chesterfield County,541330,Architectual and engineering services,21,Reduction,11/1/2013 12:00:00 AM,12/5/2013 12:00:00 AM
URS Corporation,Virginia Beach,541330,Architecutal and engineering services,106,Reduction,11/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
URS Corporation,Staunton,541330,Architectual and engineering services,15,Reduction,11/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
URS Corporation,Salem,541330,Architectual and engineering services,16,Reduction,11/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
