Company Name,Location,NAICS,Business Description,Jobs Lost,Type,Month Announced,Month Closing / Layoff
"Caraustar Industries, Inc.",Franklin City,322214,Manufactures paperboard tubes,12,Closing,4/1/2010 12:00:00 AM,5/1/2010 12:00:00 AM
"CRGT, Inc.",Fairfax County,541512,IT solutions,115,Reduction,4/1/2010 12:00:00 AM,4/1/2010 12:00:00 AM
"WM Coffman, LLC",Smyth County,321918,Manufactures stairs and columns,92,Reduction,4/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM
Lillian Vernon Corp.,Virginia Beach,454113,Subsidiary HQ; catalog & online retailer; distribution center,200,Closing,4/1/2010 12:00:00 AM,8/1/2011 12:00:00 AM
Northrop Grumman Technical Services,Newport News,561210,"Provides base operations and infrastructure support, training and simulation",173,Reduction,4/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM
American of Martinsville,Henry County,327121,Institutional wood furniture,228,Closing,4/1/2010 12:00:00 AM,4/1/2010 12:00:00 AM
Smurfit-Stone Container Corp.,Henrico County,322211,Manufactures corrugated containers,146,Reduction,3/1/2010 12:00:00 AM,10/1/2010 12:00:00 AM
"Krispy Kreme Doughnuts, Inc.",Fairfax County,311812,Doughnuts,68,Closing,2/1/2010 12:00:00 AM,4/1/2010 12:00:00 AM
TransCore,Alleghany County,561422,Customer service/data center; electronic tolling operations,86,Reduction,2/1/2010 12:00:00 AM,3/1/2010 12:00:00 AM
"RotoMetrics, Inc.",Patrick County,33314,Solid die manufacturing,89,Reduction,2/1/2010 12:00:00 AM,5/1/2010 12:00:00 AM
LexisNexis,Charlottesville,323111,Commercial printing,61,Closing,1/1/2010 12:00:00 AM,1/1/2010 12:00:00 AM
"Techma USA, Inc.*",Pittsylvania County,336322,Vehicle parts; oxygen sensor wire harnesses,89,Closing,1/1/2010 12:00:00 AM,3/1/2010 12:00:00 AM
"Covalence Specialty Coatings, LLC",Hanover County,322221,"Flexible packaging, barrier & building products",66,Closing,1/1/2010 12:00:00 AM,3/1/2010 12:00:00 AM
"WellPoint, Inc.",Alexandria,524114,Health insurance,60,Closing,1/1/2010 12:00:00 AM,3/1/2010 12:00:00 AM
JCPenney,Chesterfield County,561422,Call center; catalog sales/orders,252,Closing,1/1/2010 12:00:00 AM,4/1/2010 12:00:00 AM
"Stanley Furniture Company, Inc.",Henry County,337122,Wood furniture,150,Reduction,1/1/2010 12:00:00 AM,4/1/2010 12:00:00 AM
West Corporation,Hampton,561422,Call center; in-bound sales,450,Closing,1/1/2010 12:00:00 AM,3/1/2010 12:00:00 AM
Berryville Graphics*,Clarke County,323117,"Commercial printing: books, hardcovers",68,Reduction,1/1/2010 12:00:00 AM,1/1/2010 12:00:00 AM
,,,,,,,
Notes:,,,,,,,
*Indicates foreign affiliation,,,,,,,
All announcements are subject to revision,,,,,,,
