Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
Hardwood Artisans,Culpeper County,337122,Manufactures hand-crafted wood furniture,8/1/2013 12:00:00 AM,E,30,0.31
"R&K Solutions, Inc.",Roanoke City,541511,Facilities and real property management software,8/1/2013 12:00:00 AM,E,21,0.3043
"Pleasant Valley Business Solutions, LLC.",Fairfax County,541512,Enterprise resource planning,8/1/2013 12:00:00 AM,E,16,0.234
"Team Velocity Marketing, LLC",Fairfax County,541613,Provides data research and marketing services to the automotive industry,8/1/2013 12:00:00 AM,E,65,2
"W&B Fabricators, Inc.",Bland County,332710,Manufactures mining machinery and equipment,8/1/2013 12:00:00 AM,N,50,3.1
Continental Terminals Inc.,Suffolk,493110,"Coffee roasting, sorting, storage, blending and distribution",8/1/2013 12:00:00 AM,E,20,5
Liberty Tax Services,Virginia Beach,541213,Corporate headquarters; financial services,8/1/2013 12:00:00 AM,E,26,0
Lindab Building Products*,Virginia Beach,331110,NA HQ; Building productions division,8/1/2013 12:00:00 AM,N,5,0.15
Bunge Oils,Henrico County,311225,"Commodity-based processing and logistics company that connects farmers with feed, food, and retail customers",7/9/2013 12:00:00 AM,E,0,0.5
"Primatics Financial, LLC",Hanover County,541511,Provides software solutions and advisory services,7/3/2013 12:00:00 AM,E,251,0.7279
"Digital Realty Trust, Inc.",Loudoun County,518210,Data center,7/1/2013 12:00:00 AM,E,50,150
"Dan River Plants, LLC (DRP)",Pittsylvania County,424930,"Creates, clones, and grows ornamental plants and biorenewable feedstock",7/1/2013 12:00:00 AM,E,27,1.3
"Integrated Global Services, Inc.",Chesterfield County,325510,"HQ; metallurgical R&D, ceramic coatings and automated weld overlay systems",7/1/2013 12:00:00 AM,E,20,3.6
PRUFREX Innovative Power Products GmbH*,Virginia Beach,334513,US HQ; Digital ignition systems and electronic control units for the automotive and electric and cordless power industries,7/1/2013 12:00:00 AM,N,60,7.33
Rackspace Hosting,Montgomery County,518210,Open cloud services; IT hosting operation,7/1/2013 12:00:00 AM,E,110,5.5
"Atomized Products Group, Inc.",Chesapeake,331221,Metal powders and battery expanders,7/1/2013 12:00:00 AM,N,26,4.3835
"RagingWire Enterprise Solutions, Inc.*",Loudoun County,518210,Data center; managed IT services provider,7/1/2013 12:00:00 AM,E,5,145
National Science Foundation (NSF),Alexandria,551114,HQ; Supports and promotes fundamental scientific research,7/1/2013 12:00:00 AM,E,0,200
Cochrane International*,Fairfax County,332618,Manufactures physical barrier protection products,7/1/2013 12:00:00 AM,N,20,5
"Health Diagnostic Laboratories, Inc.",Henrico County,493110,Warehouse and shipping department for biorelated products,7/1/2013 12:00:00 AM,E,0,0.2
Belmora LLC,Fairfax County,325412,Manufactures nonprescription drugs,7/1/2013 12:00:00 AM,N,30,1
"Tempur Sealy International, Inc.",Scott County,337910,Foam mattresses and pillows,7/1/2013 12:00:00 AM,E,42,13.3
"Onyx Government Services, Inc.",Fairfax County,541512,"Information technology, database and COTS integration, custom software development",7/1/2013 12:00:00 AM,E,274,0.35
"Carney, Inc.",Alexandria,541511,Software developer; software that tracks and accelerates work performance,7/1/2013 12:00:00 AM,E,45,0.3
Stone Dynamics,Henry County,327991,"Fabricates marble and granite into various shapes, sizes and thicknesses and edge design",7/1/2013 12:00:00 AM,E,44,1
American Bluesky Lumber,Nottoway County,321113,Hardwood lumber,7/1/2013 12:00:00 AM,N,15,1.08
Dormeo Octaspring*,Frederick County,337910,Manufactures and distributes mattresses,7/1/2013 12:00:00 AM,N,20,1
DASCOM Americas*,Augusta County,334413,"Industrial LED lighting, and printing company",7/1/2013 12:00:00 AM,N,20,0
Franklin Johnson Group,Virginia Beach,551114,Corporate HQ; East Coast multifamily development group,7/1/2013 12:00:00 AM,N,30,0.1
IMAGINIT Technologies,Virginia Beach,541512,"Technology consulting, provider of engineering enterprise solutions",7/1/2013 12:00:00 AM,E,5,0.1
Print Mail Communications,Spotsylvania County,512110,HQ; High-volume printing and mailing,7/1/2013 12:00:00 AM,E,0,0.4
Direct Mail Solutions,Henrico County,541860,Prepares advertising materials for mailing or other distribution,6/18/2013 12:00:00 AM,E,100,3.5
Eaton Crouse-Hinds,Roanoke City,335931,Current carrying device manufacturing,6/17/2013 12:00:00 AM,E,0,1.6
"Winchester Metals, Inc.",Frederick County,332312,"Steel distribution, processing, and fabricaiton",6/17/2013 12:00:00 AM,E,0,0.154
"CEMS, Inc.",Augusta County,334519,Manufactures electronic test equipment and repaid broadband equipment,6/11/2013 12:00:00 AM,E,22,1.2
"ComSonics, Inc.",Harrisonburg,334220,Manufactures electronic test equipment and repair broadband equipment,6/11/2013 12:00:00 AM,E,60,0.5
"Comter Systems, Inc.",Fairfax County,541512,"IT solutions and services, management consulting",6/10/2013 12:00:00 AM,E,0,0.2
"Blue Ridge Industries, Inc.",Frederick County,326199,Manufactures custom injection mold,6/4/2013 12:00:00 AM,E,0,1.1314
Integrity Windows & Doors,Roanoke County,326199,Manufactures fiberglass windows and doors for the construction market,6/4/2013 12:00:00 AM,E,0,2.2
"Eastern Microfilm Sales and Service, Inc.",Patrick County,561499,Provides user friendly document management solutions,6/3/2013 12:00:00 AM,E,0,0.75
Presto Products*,Halifax County,326111,Manufactures plastic films and bags,6/3/2013 12:00:00 AM,E,0,1.3
Faulconer Construction Company,Louisa County,551114,HQ; site and heavy civil contractor,6/1/2013 12:00:00 AM,E,0,3.2
Raytheon Company,Arlington County,541512,Software and systems engineering,6/1/2013 12:00:00 AM,E,40,0
Bloomberg BNA,Arlington County,551114,Subsidiary HQ; Publisher of print and electronic news,6/1/2013 12:00:00 AM,E,100,0
Virginia Crane (Foley Material Handling),Hanover County,333923,Manufactures industrial cranes,6/1/2013 12:00:00 AM,E,20,1.5
"Greystone, Inc.",James City County,332813,Metal plating of components,6/1/2013 12:00:00 AM,E,34,1.5
The Peggs Company,Hanover County,423440,Reconditioned shopping cart distribution,6/1/2013 12:00:00 AM,E,99,2.9
"Berkley Net Underwriters, LLC",Prince William County,551114,Corporate HQ; Provides automated specialty insurance solutions,6/1/2013 12:00:00 AM,E,14,3.5
"Flying Mouse Brewery, LLC",Botetourt County,312120,Brewery,6/1/2013 12:00:00 AM,N,15,0.943
"Hanover Foils, LLC",Hanover County,322225,Converts foils for the confectionery industry,6/1/2013 12:00:00 AM,E,18,0.5
Millennium Enterprise Corp. (M.E.C.),Fairfax County,541511,Custom software development,6/1/2013 12:00:00 AM,E,38,0.145
"VoodooLunchbox, Inc.",Loudoun County,541511,Multi-tenant cloud analytic platform; digital insights and analytics services,6/1/2013 12:00:00 AM,E,27,1.25
Hamilton Consulting Corporation,Chesapeake,541512,Provides IT consulting and management solutions,6/1/2013 12:00:00 AM,E,58,0.5
AdJuggler,Fairfax County,541511,SaaS-based digital ad management systems,6/1/2013 12:00:00 AM,E,31,0.1
"Distil, Inc.",Arlington County,541512,Content protection network that identifies malicious web scraping and mitigates content theft,6/1/2013 12:00:00 AM,E,46,0.219
"Innovative Diagnostic Laboratory, LLP (IDL)",Henrico County,541380,"Laboratory services, testing, research for cardiovascular health management and improvement",6/1/2013 12:00:00 AM,E,45,1.5
Coca-Cola Bottling Co. Consolidated,Roanoke County,493110,Warehouse and logistics center,6/1/2013 12:00:00 AM,E,0,7
Patriot Aluminum Products LLC,Louisa County,331524,Manufactures aluminum conduit,6/1/2013 12:00:00 AM,E,0,1.5
Applied Research in Acoustics (ARiA),Culpeper County,541712,Research and development in acoustics,6/1/2013 12:00:00 AM,N,10,0
Headstrong Corporation*,Fairfax County,541512,Provides IT consulting to financial markets,6/1/2013 12:00:00 AM,E,12,0
Internet Society,Fairfax County,813910,"Member association that promotes the open development, evolution, and use of the Internet",6/1/2013 12:00:00 AM,E,12,0
Matt Martin Real Estate Management,Fairfax County,531390,"Regional office, government and investment real estate services",6/1/2013 12:00:00 AM,E,10,0
"American Technology Services, Inc. (ATS)",Fairfax County,541512,Information technology service and consulting,6/1/2013 12:00:00 AM,E,20,0
Intellinote Inc.,Fairfax County,541511,Software application specializing in notes taking and notes management,6/1/2013 12:00:00 AM,N,10,0
Mirixa Corporation,Fairfax County,541511,"Provides medication therapy management (MTM) and targeted, pharmacist-delivered services to health plans",6/1/2013 12:00:00 AM,E,10,0
"Modus Create, Inc.",Fairfax County,541511,Provides application development and consulting services,6/1/2013 12:00:00 AM,E,13,0
"Navigant Consulting, Inc.",Fairfax County,541611,Management consulting services,6/1/2013 12:00:00 AM,E,50,0
"Nexius Solutions, Inc.",Fairfax County,541512,Provides end-to-end wireless services and software solutions,6/1/2013 12:00:00 AM,E,25,0
OBXtek Inc.,Fairfax County,541512,"Provides information technology engineering and support, program management, software development",6/1/2013 12:00:00 AM,E,65,0
"Optimos, Inc.",Fairfax County,541512,Provides strategy and enterprise information technology services,6/1/2013 12:00:00 AM,E,13,0
"RCG, Inc.",Fairfax County,541512,"IT engineering, integration, security and network design",6/1/2013 12:00:00 AM,E,15,0
"Spear, Inc.",Fairfax County,541512,"Provides information technology solutions, management consulting, business process outsourcing",6/1/2013 12:00:00 AM,E,13,0
Centurion Research Solutions,Fairfax County,541611,Business intelligence and analytics; helps contractors win more government business,6/1/2013 12:00:00 AM,E,10,0
WashingtonFirst Bank,Fairfax County,551114,HQ; banking and mortgage services,6/1/2013 12:00:00 AM,E,28,0
Ampcus Inc.,Fairfax County,541512,Provides technology consulting and related IT services,6/1/2013 12:00:00 AM,E,96,0
Monogram Snacks,Henry County,311612,Meat snacks,6/1/2013 12:00:00 AM,E,100,0
"Avis Budget Group, Inc.",Virginia Beach,532111,National processing center; regional shared services center; rental car supplier,6/1/2013 12:00:00 AM,E,25,0
KOSTER American Corp.*,Virginia Beach,493110,US HQ; Distribution of waterproofing construction materials and other building products,6/1/2013 12:00:00 AM,E,6,4.6
"Franklin Lumber, LLC",Isle of Wight County,321113,Southern yellow pine lumber,6/1/2013 12:00:00 AM,N,71,14.8
Commercial Steel Erection (CSE),Amherst County,238290,"Services the industrial market; provides crane, rigging, and erection services",6/1/2013 12:00:00 AM,E,51,1.25
"Schneider Laboratories Global, Inc.",Richmond City,541380,Testing laboratory; certified test kits,6/1/2013 12:00:00 AM,E,12,0.1
"Canon Virginia, Inc.*",Newport News,325992,Printer cartridge and toner manufacturing,6/1/2013 12:00:00 AM,E,0,27
Virginia Packing LLC,James City County,311612,Process meat,5/31/2013 12:00:00 AM,E,0,0.0673
"Four Season Recycling & Trading, LLC",Hanover County,523130,"Industrial, manufacturing, and commercial scrap",5/10/2013 12:00:00 AM,E,10,0.1
"Daon, Inc.",Fairfax County,541511,Identity assurance software and services,5/2/2013 12:00:00 AM,E,16,0.1
Momentum Aviation Group (MAG),Prince William County,541330,"Provides specialty aviation, aerial surveillance, and ISR support and training",5/1/2013 12:00:00 AM,N,55,2.38
Premium Rx National,Loudoun County,424210,Wholesaler of pharmaceutical and medical supplies,5/1/2013 12:00:00 AM,N,5,0.3
"Endgame, Inc.",Arlington County,541511,Cyber security solutions,5/1/2013 12:00:00 AM,E,34,0
Thermopylae Sciences and Technology,Arlington County,541512,"Web-based geospatial capabilities, mobile software framework and applications, cloud computing",5/1/2013 12:00:00 AM,E,20,0
Association for Unmanned Vehicle Systems International,Arlington County,813910,"Member association for government organizations, industry and academia",5/1/2013 12:00:00 AM,E,40,0
AAI Corporation,Nottoway County,336413,"Training, remanufacturing, and logistics services for unmanned air systems",5/1/2013 12:00:00 AM,N,75,1
High Liner Foods Inc.*,Newport News,311712,Seafood processing; frozen seafood products,5/1/2013 12:00:00 AM,E,57,6.6
Amazon Web Services,Fairfax County,518210,"Provides cloud computing services, web hosting, application hosting, storage and backup",5/1/2013 12:00:00 AM,E,500,9.5
"Banker Steel Company, LLC",Campbell County,332312,Fabricates structural steel,5/1/2013 12:00:00 AM,E,50,2.45
IBM Center for Community Security and Resilience,Arlington County,541712,Provides research services to the Department of Homeland Security,5/1/2013 12:00:00 AM,N,16,0.1
H.P. Hood Inc.,Frederick County,311514,Dairy products; ultra-high temperature processing,5/1/2013 12:00:00 AM,E,75,84.6289
Devils Backbone Brewing (Mountain View Brewery),Rockbridge County,312120,Brewery,5/1/2013 12:00:00 AM,E,0,0.2
Devils Backbone Brewing (Mountain View Brewery),Nelson County,312120,Brewery,5/1/2013 12:00:00 AM,N,0,3.05
Avdex Corporation,Hampton,332710,Metal fabrication,5/1/2013 12:00:00 AM,E,0,1.67
PHH Arval,Virginia Beach,541611,Provides financial and management services for commercial vehicle fleets,5/1/2013 12:00:00 AM,N,10,0.15
"Acosta, Inc.",Virginia Beach,541613,Provides sales and marketing services to consumer packaged goods companies,5/1/2013 12:00:00 AM,E,20,0.35
Nelson Westerberg,Dinwiddie County,484210,"Manages relocation services for domestic, international, corporate, and military clients",5/1/2013 12:00:00 AM,N,75,0
"Amcor Rigid Plastics USA, Inc.*",Wythe County,326160,Manufactures plastic bottles,4/12/2013 12:00:00 AM,E,0,3.921
Bristol Compressors International,Bristol,333912,"Compressors, air conditioning, and heating",4/12/2013 12:00:00 AM,E,0,3.226
"American Cadastre, LLC",Fairfax County,511210,Provides software to the government,4/3/2013 12:00:00 AM,E,60,0.3
Concentrix,Henrico County,561422,"Business process outsourcing, IT outsourcing",4/1/2013 12:00:00 AM,N,700,2
"RxAlly, LLC",Loudoun County,813910,Nationwide alliance and network of pharmacies,4/1/2013 12:00:00 AM,E,150,1
CakeBoxx Technologies,Amherst County,332439,Door-less intermodal cargo shipping containers,4/1/2013 12:00:00 AM,N,33,0.9
"Mills Marine & Ship Repair, LLC",Suffolk,336611,Ship maintenance and repair,4/1/2013 12:00:00 AM,E,142,3
"Sabra Dipping Company, LLC*",Chesterfield County,311941,Manufactures hummus and vegetable dips,4/1/2013 12:00:00 AM,E,140,86
Central Virginia Manufacturers,Bedford County,332322,Sheet metal fabrication,4/1/2013 12:00:00 AM,N,15,0
Oâ€™Gara Group,Westmoreland County,611430,"Tactical training center to teach combat, marksmanship, defensive tactics, modeling & simulation",4/1/2013 12:00:00 AM,E,100,10
Digital Signal Corporation (DSC),Fairfax County,541511,Three dimensional (3D) long-range facial recognition solutions,4/1/2013 12:00:00 AM,E,225,0.38
FedEx Corporation,Hanover County,492110,"Distribution center, parcel shipping",4/1/2013 12:00:00 AM,E,0,4
Triad Isotopes,Henrico County,325412,Made-to-order pharmaceuticals,4/1/2013 12:00:00 AM,N,8,0.5
Axalta Coating Systems,Warren County,325510,Manufactures high-technology paint for automotive aftermarket,4/1/2013 12:00:00 AM,E,0,4.5
Cosentino S.A.*,Hampton,493110,Distribute stone and stone-like materials used in countertops,4/1/2013 12:00:00 AM,N,17,2.2767
WhiteWave Foods Company,Rockingham County,311511,"Plant-based foods and beverages, coffee creamers and beverages and premium dairy products",4/1/2013 12:00:00 AM,E,36,69.8
Wellborn + Wright,Henrico County,321918,"Wood flooring, wall paneling, cabinets, doors, chairs",4/1/2013 12:00:00 AM,E,0,0.95
"GENETWORx, LLC",Henrico County,325413,Pharmacogenomic testing devices and kits,4/1/2013 12:00:00 AM,E,200,3
JTI Leaf Services*,Danville,312210,Tobacco processing,4/1/2013 12:00:00 AM,E,10,7.5
"Ariake USA, Inc.*",Harrisonburg,311422,"Manufactures stocks, bouillons, and natural meat flavorings",4/1/2013 12:00:00 AM,E,4,6.2
Verizon Wireless,Culpeper County,518210,Data center; data hosting services,4/1/2013 12:00:00 AM,E,50,150
"Universal Dynamics, Inc.*",Prince William County,333220,N.A. HQ; designs/manufactures/installs auxiliary products for the plastics processing industry,4/1/2013 12:00:00 AM,E,0,6
American Psychiatric Association,Arlington County,813920,Psychiatric organization,4/1/2013 12:00:00 AM,E,60,0
Central Virginia Health Network,Henrico County,541711,Laboratory,4/1/2013 12:00:00 AM,E,7,2
Appalachian Cast Products,Washington County,331523,Manufacture custom die cast,4/1/2013 12:00:00 AM,E,36,1.1
Chartway Federal Credit Union,Virginia Beach,551114,Corporate headquarters for national credit union,4/1/2013 12:00:00 AM,E,0,11.5
Red River,Fairfax County,541512,Public sector HQ; federal information technology (IT) services provider,4/1/2013 12:00:00 AM,N,30,0
Surefire Social,Fairfax County,541613,Personalized digital marketing; Internet marketing services,4/1/2013 12:00:00 AM,E,10,0
"VBrick Systems, Inc.",Fairfax County,518210,HQ; Provides solutions for the management and distribution of streaming media,4/1/2013 12:00:00 AM,N,25,0
Interchange Company,Rockingham County,493110,Third party logistic and warehousing,3/28/2013 12:00:00 AM,E,0,4.8
UltraLife Corporation,Virginia Beach,334290,"Designs, develops, and manufactures tactical communications products",3/4/2013 12:00:00 AM,E,0,1.25
"Porter's Group, LLC",Lynchburg,332999,Produce fabricated metal products; safes and related products and parts,3/1/2013 12:00:00 AM,N,120,1.8
"Alliance Machine and Engraving, LLC",Hanover County,333517,"Manufactures embossers, embossing machines, extrusion machinery, engraved rolls, etc.",3/1/2013 12:00:00 AM,E,10,0.175
"Gauge Works, LLC",Loudoun County,332322,Plastic thermoforming/machining operations; sheet metal fabrication,3/1/2013 12:00:00 AM,E,10,0.4
Dominion Transmission Inc.,Richmond City,486210,"Provides gas processing, transportation and storage services",3/1/2013 12:00:00 AM,E,100,0
Shamrock Farms,Augusta County,311511,Milk processing,3/1/2013 12:00:00 AM,N,60,50
Red Sun Farms*,Pulaski County,111419,Greenhouse tomato production; hydroponic vegetables,3/1/2013 12:00:00 AM,N,205,30
Bauer Compressors Inc.*,Norfolk,333912,U.S. HQ; Air and industrial compressors,3/1/2013 12:00:00 AM,E,130,15
"Atlas, an Americold subsidiary",Roanoke County,493120,Warehouse/distribution; refrigerated foods,3/1/2013 12:00:00 AM,E,100,4.3
"RagingWire Enterprise Solutions, Inc.*",Loudoun County,518210,Data center; managed IT services provider,3/1/2013 12:00:00 AM,E,45,5
Hollister Incorporated,Augusta County,339112,"Develops, manufactures and markets medical devices",3/1/2013 12:00:00 AM,E,0,29.6
Greencore Group plc*,Stafford County,311991,"Manufactures convenience foods, packaged sandwiches and other food products",3/1/2013 12:00:00 AM,E,350,5.75
Lipton*,Suffolk,311920,"Tea, bagged and instant",3/1/2013 12:00:00 AM,E,0,96.2
MCL Systems Limited,Prince William County,541511,Software solutions for telecommunication firms and business process management,3/1/2013 12:00:00 AM,E,10,0.16
Elite Apparel USA,Lee County,315190,Apparel (shirts),3/1/2013 12:00:00 AM,N,25,0.39
"INTER Materials, LLC",Pulaski County,326199,"Light weight ballistic helmets; anti-reflective, scratch and abrasion resistant coatings",3/1/2013 12:00:00 AM,E,10,0.5
"Babcock & Wilcox Nuclear Energy, Inc.",Bedford County,541330,Commercial nuclear energy services and engineering solutions,3/1/2013 12:00:00 AM,E,30,16
Eska Graphic Board*,Chesapeake,322130,Paperboard,3/1/2013 12:00:00 AM,E,18,0.55
Kimball Hospitality,Henry County,337122,Hospitality furniture production; administrative offices,3/1/2013 12:00:00 AM,E,45,1
"Evolve Stone, LLC",Frederick County,325211,Manufacture poly-based resins,3/1/2013 12:00:00 AM,N,46,0.15
PublicRelay,Fairfax County,541511,Media monitoring and analytics solutions and software,3/1/2013 12:00:00 AM,E,93,0.25
Design Ready Controls,Henrico County,334515,Original design manufacturer (ODM) providing control panel and harness solutions,3/1/2013 12:00:00 AM,E,67,0.3
Cuisine Solutions,Loudoun County,311412,"Manufactures fully cooked, frozen entrees and sauces",3/1/2013 12:00:00 AM,E,30,29.52
"Raytheon Intelligence, Information and Services (IIS)",Loudoun County,493110,"Warehouse; aerospace information systems, defense contractor",3/1/2013 12:00:00 AM,E,1,0.5
Zodiac Executive Aircraft Inserts*,Loudoun County,333318,"Galley insert equipment and parts, fusing systems and components for use on aircraft",3/1/2013 12:00:00 AM,E,10,1
"DLBA Robotics, Ltd.",Hampton,333511,Molds and patterns,3/1/2013 12:00:00 AM,E,0,0.5
Corporate Office Properties Trust (COPT),Loudoun County,518210,Data center,3/1/2013 12:00:00 AM,E,45,300
DRT-3,Loudoun County,518210,Data center,3/1/2013 12:00:00 AM,E,10,0.2
"Digital Realty Trust, Inc.",Loudoun County,518210,Data center,3/1/2013 12:00:00 AM,E,15,20
"Equinix, Inc.",Loudoun County,518210,Data center,3/1/2013 12:00:00 AM,E,35,0.3
Wikipedia,Loudoun County,518210,Data center,3/1/2013 12:00:00 AM,N,5,0.3
The Travelers Cos. Inc.,Henrico County,524126,"Regional HQ, customer service, underwriting, claims and information technology",3/1/2013 12:00:00 AM,E,0,8
"Kosmo Machine, Inc.",Henrico County,332710,Manufactures precision machine parts,3/1/2013 12:00:00 AM,E,0,2
"Strategic Operational Solutions, Inc. (STOPSO)",Fairfax County,541611,IT strategy and management consulting,3/1/2013 12:00:00 AM,E,70,0
Commtouch*,Fairfax County,541519,HQ; provides Internet security technology and cloud-based services,3/1/2013 12:00:00 AM,E,10,0
FrontPoint Security,Fairfax County,541690,Nationwide provider of interactive wireless home security systems,3/1/2013 12:00:00 AM,E,179,0
Dimension Data*,Fairfax County,541512,Provides specialist IT services and solutions,3/1/2013 12:00:00 AM,E,85,0
Mandiant Corporation,Fairfax County,541511,IT threat detection and response solutions; security incident response management,3/1/2013 12:00:00 AM,E,80,0
Helena Chemical Company,Richmond County,493110,Distributor of crop protection and crop production inputs,3/1/2013 12:00:00 AM,E,0,0.18
Global Supply Solutions (GSS Gear),Virginia Beach,493110,Supplier of tactical and outdoor gear,3/1/2013 12:00:00 AM,E,11,0.1
"Corning, Inc.",Montgomery County,336399,Manufacturing chemicals for use in catalytic converters,2/26/2013 12:00:00 AM,E,0,6
Frito-Lay,Lynchburg,311919,Snack foods,2/5/2013 12:00:00 AM,E,0,2
Abbyson Living,Loudoun County,493110,Warehouse and distribution; furniture,2/1/2013 12:00:00 AM,N,50,0
Tecton Products LLC,Roanoke County,326199,Manufactures custom fiberglass pultrusions for windows,2/1/2013 12:00:00 AM,E,47,0.8
"nexGrÄ“n, Inc.",Fairfax County,541512,"""Green"" technology solutions provider",2/1/2013 12:00:00 AM,E,5,0.5
"Fresh Tulips USA, LLC",King George County,493110,Grow and distribute hydroponic tulips,2/1/2013 12:00:00 AM,E,100,3
Professional Solutions Delivered (ProSoDel),Caroline County,541512,"Ladysmith Integration Facility, provides item unique identification marking",2/1/2013 12:00:00 AM,E,14,0
Tri-Boro Shelving & Partition Corp.,Prince Edward County,337215,"Metal shelving, stock carts, work benches, and other storage products",2/1/2013 12:00:00 AM,E,25,4.5
"Altec Industries, Inc.",Botetourt County,333120,Manufactures truck-mounted mobile equipment,2/1/2013 12:00:00 AM,E,96,2.24
"Amsted Rail Company, Inc.",Petersburg,332991,Tapered roller bearings,2/1/2013 12:00:00 AM,E,104,37.5
Marten Transport Ltd.,Chesterfield County,484230,Regional/over the road trucking services,2/1/2013 12:00:00 AM,E,127,11.7
Tyson Foods Inc.,Hanover County,311615,Poultry processing,2/1/2013 12:00:00 AM,E,120,14
Daikin McQuay*,Augusta County,333415,Manufactures chillers for heating and AC units; testing and R&D lab,2/1/2013 12:00:00 AM,E,65,9.2
Englewood Enterprises,Richmond City,488210,Rail transloading facility for biofuels/ethanol from railcar to pipeline,2/1/2013 12:00:00 AM,N,6,3.5
AMAC Leasing LLC,Southampton County,324121,Aggregate distribution facility and asphalt manufacturing,2/1/2013 12:00:00 AM,N,26,5.6
Liebherr Mining Equipment Newport News Co.*,Newport News,333120,Construction and mining equipment,2/1/2013 12:00:00 AM,E,174,45.4263
Truland Systems Corp.,Caroline County,423310,"Prefabrication, materials management and assembly, training",2/1/2013 12:00:00 AM,N,50,4.7
Blue Bird Resins/ Blue Bird Recycling,Pulaski County,326199,Industrial recycling operation dedicated to converting waste-to-scrap commodity,2/1/2013 12:00:00 AM,E,10,0.5
Wyle Aerospace Group,Arlington County,541330,Program management and engineering services,2/1/2013 12:00:00 AM,E,15,0
MIL Corporation,Arlington County,541512,"Provides financial management, system engineering, and technical services to the federal government",2/1/2013 12:00:00 AM,E,10,0
Liebherr Mining Equipment Newport News Co.*,Hampton,333120,Construction and mining equipment,2/1/2013 12:00:00 AM,E,0,10
Pelon's Baja Salsa,Henrico County,311421,Salsa and guacamole,2/1/2013 12:00:00 AM,E,10,0.75
Best Bully's,Henrico County,311111,Manufactures and distributes pet treats,2/1/2013 12:00:00 AM,E,40,1
Frito-Lay,Newport News,311919,Manufactures snack foods,1/4/2013 12:00:00 AM,E,0,7.5
Pepsi Bottling Company,Botetourt County,311999,Manufactures food and beverage products,1/2/2013 12:00:00 AM,E,0,2.5
"M.C. Dean, Inc.",Loudoun County,551114,HQ; electrical design-build and systems integration,1/1/2013 12:00:00 AM,E,0,1.5
Atomic Axis,Montgomery County,541511,"iOS development, mobile solutions and apps",1/1/2013 12:00:00 AM,N,30,0.15
Newport News Industrial Corp. (NNI),Newport News,332312,Nuclear shield building wall panels,1/1/2013 12:00:00 AM,E,50,10
Red Hat,Fairfax County,541511,Provides open source software and solutions,1/1/2013 12:00:00 AM,E,110,1.7
Toll Integrated Systems,Culpeper County,321214,"Roof trusses, wood panels, other building materials",1/1/2013 12:00:00 AM,N,30,5
MicroPact Inc.,Fairfax County,541511,Develops case management and business process management software,1/1/2013 12:00:00 AM,E,70,0
Virginia Candle Company,Pittsylvania County,493110,"Warehouse, distribution, manufacturing; candles",1/1/2013 12:00:00 AM,E,15,0
1901 Group,Montgomery County,541512,Managed IT services provider,1/1/2013 12:00:00 AM,E,45,0.125
"AvalonBay Communities, Inc.",Virginia Beach,561422,"National customer care center, real estate investment trust",1/1/2013 12:00:00 AM,E,52,1.5
Architectural Graphics Inc.,Virginia Beach,339950,Architectural quality interior and exterior sign systems,1/1/2013 12:00:00 AM,E,125,17.35
BFPE International,Virginia Beach,551114,Regional headquarters; full-service fire protection and security system firm,1/1/2013 12:00:00 AM,E,30,0.95
Microsoft Corp.,Mecklenburg County,518210,Data center,1/1/2013 12:00:00 AM,E,30,348
Optical Cable Corp.,Roanoke County,335921,Fiber optic cable,1/1/2013 12:00:00 AM,E,25,1
Perceptive Software (Lexmark International),Loudoun County,541511,Data capture and enterprise search solutions,1/1/2013 12:00:00 AM,E,30,0.5
Faneuil Inc.,Martinsville,561422,Customer service center,1/1/2013 12:00:00 AM,E,100,1
Ferguson Enterprises Inc.*,Newport News,493110,"Subsidiary HQ; Distribution center, bathroom fixtures",1/1/2013 12:00:00 AM,E,0,2.6
Miller Milling Company,Frederick County,311211,Grain mill and storage,1/1/2013 12:00:00 AM,E,0,30
Sutherland Global Services,Chesapeake,541611,Business process outsourcing and analytics services,1/1/2013 12:00:00 AM,E,275,6.872
L-3 Unmanned Systems,Loudoun County,336411,Manufactures unmanned systems,1/1/2013 12:00:00 AM,N,40,1
Arc Granite & Marble,Virginia Beach,493110,Distribution of architectural stone products,1/1/2013 12:00:00 AM,N,5,0.15
Wako Chemicals USA Inc.*,Chesterfield County,325199,Specialty chemicals,1/1/2013 12:00:00 AM,E,0,0.6
Air Water & Soil Laboratories Inc.,Chesterfield County,541380,Environmental laboratory,1/1/2013 12:00:00 AM,E,0,1.5
Pepsi Bottling Company,Newport News,311999,Manufactures food and beverage products,12/17/2012 12:00:00 AM,E,0,1
Alleghany Meats,Highland County,311611,Meat processing plant,12/4/2012 12:00:00 AM,N,7,1.4
Intelsat*,Fairfax County,551114,U.S. HQ; provides satellite services,12/1/2012 12:00:00 AM,N,430,24.8
"Innovative Refrigeration Systems, Inc.",Augusta County,333415,Customized turnkey industrial refrigeration systems,12/1/2012 12:00:00 AM,E,102,0.75
La Tienda,James City County,493110,Warehouse/distribution of Spanish food products,12/1/2012 12:00:00 AM,E,32,0.172
Virginia Packing,James City County,311612,"Cured meats, cheeses and other specialty food products",12/1/2012 12:00:00 AM,E,18,0.12
Universal Stones,Fauquier County,327991,"Distributes, fabricates and installs natural stone, marble and granite kitchen countertops",12/1/2012 12:00:00 AM,E,80,5
