Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
SAIC,Dickenson County,541512,"IT consulting, research and engineering defense contractor",5/18/2018 12:00:00 AM,E,40,0
"Ardagh Metal Packaging USA, Inc.*",Roanoke County,332431,Global leader in packaging manufacturing,5/17/2018 12:00:00 AM,E,0,4.2
Stik-Pak Solutions,Franklin County,326112,Contract packaging manufacturer,5/17/2018 12:00:00 AM,E,50,14.3
Seigler Reels,Virginia Beach,339920,HQ; manufactures fishing reels,5/16/2018 12:00:00 AM,N,12,0.98
CoConstruct,Albemarle County,541511,"Software development for project, financial, and client management system",5/1/2018 12:00:00 AM,E,69,0.485
Mahindra Technology Center*,Montgomery County,336211,Utility vehicle manufacturer,5/1/2018 12:00:00 AM,E,10,0
Sugar Skull Creative,Virginia Beach,512110,Full service video production,5/1/2018 12:00:00 AM,E,0,0.1
Porpoise,Virginia Beach,323113,Custom workshop,5/1/2018 12:00:00 AM,E,0,0.07
Wave Riding Vehicles,Virginia Beach,339920,Surfboard manufacturing,5/1/2018 12:00:00 AM,E,0,0.12
Arconic Inc.,Fairfax County,331313,Lightweight metals engineering and manufacturing,4/30/2018 12:00:00 AM,N,58,5.175
Whitley's Peanut Company,Gloucester County,311911,Gourmet peanut manufacturing,4/27/2018 12:00:00 AM,E,5,0.53
Central Virginia Manufacturing,Bedford County,332312,Sheet metal fabricator,4/24/2018 12:00:00 AM,E,9,0.3
"MI Technical Solutions, Inc.",Chesapeake,541512,Professional engineering and technical services operations,4/19/2018 12:00:00 AM,E,15,0.1
"A&A Transfer, Inc.",Loudoun County,484230,Full service solutions provider,4/19/2018 12:00:00 AM,E,8,0.12
Appian Corporation,Fairfax County,511210,Business process management software suites provider,4/17/2018 12:00:00 AM,E,600,28.4
Assured Communications Advisors International,Virginia Beach,518210,HQ: Tier III data center,4/17/2018 12:00:00 AM,N,30,52
Gerber Products Company,Arlington County,311514,"Nutrition, health, and wellness company",4/16/2018 12:00:00 AM,N,150,5
Blue Bell,Suffolk,493120,Warehouse and distribution of ice cream products,4/13/2018 12:00:00 AM,E,30,6.4
UDig,Henrico County,511210,IT software developers,4/12/2018 12:00:00 AM,E,51,1.6
"Mohawk Industries, Inc.",Carroll County,313110,Manufacturer of residential and commercial flooring products,4/9/2018 12:00:00 AM,E,6,6.92
Studio Center,Virginia Beach,512110,Broadcast advertising production company,4/9/2018 12:00:00 AM,E,20,1.3
